Nom de l'offre touristique;Type de l'offre;Type habitation;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Nom de la commune;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Point d'acces/Nom/distance;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;Code Embed pour intégrer une video;Widget tripadvisor;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;SPaccessibilite;Présence l'offre sur les grands itinéraires vélo;Equipements;Confort immobillier;Confort mobillier;Labels;Classement dans un label;Catégorie de la fête ou manifestation;Nombre chambres;Nombre chambres pour accès à mobilité réduite;Nombre total d'hébergements / logements;Nombre personnes;Surface en M2;Services proposés sur place;Langues parlées à l'accueil;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Coordonnées centrale de réservation;Nom agence/nom contact/Téléphone/E-mail/URL resa/URL dispo/;Tarif(s);Modes de paiement acceptés;localisation;departement
GÎTE DES PLATANES;Meublés;Appartement;;;34 Rue des Platanes;;44119;GRANDCHAMPS-DES-FONTAINES;;44066;47.360848;-1.610311;;06 52 31 62 17;;;;;;;;;non;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Local vélo;Parking;Sanitaires privés;Terrasse / Balcon";Lave linge,Sèche linge,Micro ondes;;;Non classé;;;1;2;25;Location de draps,Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit);"Anglais;Français";oui;;;;;;Semaine (meublé)||350,00||||,Nuitée (meublé)||||60,00||A partir de 3 nuits sans petit-déjeuner, cuisine équipée à disposition;"Chèques bancaires et postaux;Espèces;Virement";47.360848,-1.610311;Loire-Atlantique
APPARTEMENT 2 PERSONNES - TOUL RU - MME RIALLANT;Meublés;Appartement;;;340 rue de Kerdandec;;44420;MESQUER;;44097;47.4134;-2.47475;;06 60 83 73 67;02 40 42 50 74;;;http://www.kabgwenn.com;;;;;non;;;;;;"Jardin indépendant;Local vélo;Parking;Plain Pied;Terrain clos;Terrasse / Balcon";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;2 étoiles;1;;;2;40;Fourniture de draps (gratuit),Fourniture de linge (gratuit);Anglais;;15/03/2021||15/11/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,15/03/2022||15/11/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Chèques bancaires et postaux;Espèces;Virement";47.4134,-2.47475;Loire-Atlantique
APPARTEMENT 4 PERSONNES *** - HOUSSAY BERNARD;Meublés;Appartement;;;38 boulevard de la République;"Immeuble ""Le renaissance""";44380;PORNICHET;;44132;47.25973;-2.33708;;06 10 10 84 36;02 99 00 11 44;;;;;;;;non;;;;;WiFi;Plain Pied;Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;3 étoiles;1;;;4;46;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||475,00||690,00||;"Chèques bancaires et postaux;Espèces;Virement";47.25973,-2.33708;Loire-Atlantique
DORMIR À 6 - DORMIR COMME À LA MAISON;Meublés;Appartement;;;5 Rue Denieul et Gastineau;;44110;CHATEAUBRIANT;;44036;47.72032;-1.37815;;06 49 54 28 87;;;;http://www.dormircommealamaison.fr/;;;;;;;;non;;WiFi;"Entrée indépendante;Sanitaires privés";;;;Non classé;2;;1;6;;Fourniture de linge (gratuit);;oui;;||06 49 54 28 87||commealamaison.conseil@gmail.com;;;;Nuitée (meublé)||97,00||||;;47.72032,-1.37815;Loire-Atlantique
GITE LE BEAU PIN;Meublés;;;;51 route de la Brébionnière;;44190;CLISSON;;44043;47.0964409;-1.2768288;;;;;;;;;;;;;;;;;;;;;;;;3;6;;;;;;;;;;;;47.0964409,-1.2768288;Loire-Atlantique
SURPRENANTES - L'ILE MYSTÉRIEUSE;Hébergement insolite;;;;6 place René Bouhier;;44100;NANTES;;44109;47.2099128;-1.5701665;;06 38 44 49 98;;;;surprenantes.com;;;;;;;;non;;;;;;;Non classé;2;;;4;;;;;;;;;;Nuitée (meublé)||93,00||159,00||;;47.2099128,-1.5701665;Loire-Atlantique
LE PALUDIER;Chambres d'hôtes;;;;6 Prend'Hue;;44350;SAINT-MOLF;;44183;47.40564;-2.41081;;06 75 72 77 39;02 40 62 52 04;;;;;;;;;;;;;;;;Accueil Paysan;;;;;;;;;;;;;;;;;;47.40564,-2.41081;Loire-Atlantique
MAISON 4 PERSONNES - MME GIRAUD;Meublés;Maison;;;6 Quai de Verdun;;44420;PIRIAC-SUR-MER;;44125;47.38061;-2.54417;;;02 40 06 43 22;;;;;;;;non;;;;;;"Plain Pied;Terrain clos;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;;2;;;2;40;;;;28/05/2022||01/10/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||480,00||595,00||;;47.38061,-2.54417;Loire-Atlantique
MEUBLÉ 4-6 PERSONNES - FIL DE SOIE ENTRESELETSABLE;Meublés;Maison;;;60 rue de Ker d'Abas;;44740;BATZ-SUR-MER;;44010;47.27762;-2.48218;;+3 30 68 19 13 10 2;+3 30 24 06 07 18 0;;;http://www.entreseletsable.com;;;;;non;sauf accord discuté avec le propriétaire;;;;Piscine;"Garage;Jardin indépendant;Parking;Terrain clos;Terrasse / Balcon;Toilettes séparées";Cheminée,Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;5 étoiles;2;;;6;80;Fourniture de draps (gratuit),Fourniture de linge (gratuit);"Anglais;Espagnol";;06/12/2021||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||1000,00||1000,00||,Week-end (meublé)||550,00||550,00||;"Cartes bancaires;Virement";47.27762,-2.48218;Loire-Atlantique
MAISON 2/6 PERSONNES - MME BARBÉ;Meublés;Maison;;;64 route de Kerhué;;44420;MESQUER;;44097;47.39353;-2.45239;;;06 62 78 58 47;;;;;;;;;;;;;;"Jardin indépendant;Parking;Toilettes séparées";Lave linge,Lave vaisselle,Micro ondes;;;;1;;;2;60;Location de draps,Location de linge;Anglais;;01/04/2021||13/11/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/04/2022||12/11/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||600,00||700,00||,Week-end (meublé)||300,00||300,00||;"Chèques bancaires et postaux;Virement";47.39353,-2.45239;Loire-Atlantique
L'OCÉANE;Chambres d'hôtes;Maison;;;7 bis chemin de Kérantrou;;44510;LE POULIGUEN;;44135;47.26678;-2.43042;;06 75 48 86 23;02 40 15 01 21;;;http://www.loceane-lepouliguen.com;;;;;non;;;;;Espace bien-être,WiFi;"Entrée indépendante;Parking;Plain Pied;Sanitaires privés;Terrasse / Balcon";;;;;1;;;2;17;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit);Anglais;oui;;Ganthier||06 75 48 86 23||thierry.ganthier@wanadoo.fr;;;;;"Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.26678,-2.43042;Loire-Atlantique
VILLA LOU ANN;Chambres d'hôtes;Maison;;;7 rue de la Gascognais;;44160;PONTCHATEAU;;44129;47.42859;-2.10369;;06 29 18 79 97;02 40 88 01 03;;;;;;;;non;;;;;WiFi;"Plain Pied;Terrasse / Balcon";;;;;2;;;4;;;;;;;;;;;;47.42859,-2.10369;Loire-Atlantique
APPARTEMENT 6 PERSONNES - M. MOREAUX;Meublés;Appartement;;;73 rue François Bougouin;"""La Grève Blanche""";44510;LE POULIGUEN;;44135;47.26313;-2.41915;;06 50 72 95 74;;;;http://www.pouliloc.com;;;;;non;;;;;;"Local vélo;Parking;Plain Pied;Terrasse / Balcon";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;3 étoiles;3;;;6;90;Location de draps;;;;;;;;;;47.26313,-2.41915;Loire-Atlantique
LA CHOUANNERIE;Chambres d'hôtes;;;;8 Avenue René Guy Cadou;;44500;LA BAULE-ESCOUBLAC;;44055;47.28462;-2.38075;;;06 09 73 42 50;;;;;;;;oui;;;non;;Espace bien-être,WiFi;"Parking;Sanitaires privés;Terrasse / Balcon";;;;;;;;2;;Location/prêt de vélo;Anglais;;;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||95,00||95,00||;;47.28462,-2.38075;Loire-Atlantique
LES VOILES DE LA BAULE;Meublés;Appartement;;;9 boulevard Guy de Champsavin;;44500;LA BAULE-ESCOUBLAC;;44055;47.27943;-2.42409;;;06 20 73 29 69;;;;;;;;non;;;;;;"Parking;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Lave vaisselle,Micro ondes;;;En cours de classement;2;;;4;35;Location de draps,Fourniture de draps (gratuit),Location de linge;Anglais;;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Chèques bancaires et postaux;Virement";47.27943,-2.42409;Loire-Atlantique
RESIDENCE DE LOISIRS CHAIS DE L'EPINAY ISIS;Meublés;Mobilhome;;;Chais de l'Epinay;L'Epinay;44140;LE BIGNON;;44014;47.10975;-1.52314;;;02 40 75 48 08;;;https://www.locationsalle44.com;;;;;oui;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Plain Pied;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées";Micro ondes;;;;3;;1;8;;;"Anglais;Français";oui;;Romain LE GUELLAFF||06 65 10 33 20||chaisdelepinay44@gmail.com;;;;;;47.10975,-1.52314;Loire-Atlantique
APPARTEMENT-GÎTE DE COËTCARET;Meublés;Appartement;;;Coëtcaret;;44410;HERBIGNAC;;44072;47.41827;-2.30494;;;06 98 40 20 74;;;http://chateaudecoetcaret.com/;;;;;;;;;;;Jardin indépendant;Cheminée,Lave linge,Lave vaisselle,Micro ondes;;;;2;;;4;102;;;;02/05/2022||28/10/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.41827,-2.30494;Loire-Atlantique
STUDIO 2/4 PERSONNES - MME DEFER;Meublés;Appartement;;;Immeuble Le Suffren;3 rue Pasteur;44510;LE POULIGUEN;;44135;47.27496;-2.42686;;06 87 04 39 36;;;;;;;;;oui;;;;;;"Parking;Terrasse / Balcon";Micro ondes;;;;;;;2;36;;;;;;;;;;;47.27496,-2.42686;Loire-Atlantique
CHAMBRES D'HOTES LA COHUE;Chambres d'hôtes;Maison;;;La Cohue;;44390;LES TOUCHES;;44205;47.437526;-1.4398899;;;02 40 72 45 23;;;http://www.aubergetouchoise.com/;;;;;oui;De petite taille;;non;;Parc/jardin;"Entrée indépendante;Parking;Sanitaires privés;Toilettes séparées";Micro ondes;;;;7;;;12;;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit);Français;oui;||||||1ère quinzaine d'aout 29/7 au 18/8||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Mme Ménard||02 40 72 45 23||contact@aubergetouchoise.fr;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||37,00||||plus 5 euros si petit-déjeuner;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";47.437526,-1.4398899;Loire-Atlantique
GÎTE LA MORANDAIS;Meublés;Maison;;;La Morandais;;44260;SAVENAY;;44195;47.329363;-1.907077;;06 80 84 18 03;;;;;;;;;oui;prevenir lors de la réservation (se munir du carnet de vaccination à jour, nous avons d'autres animaux sur la propriété);;non;;Climatisation,Parc/jardin,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Terrasse / Balcon";Lave linge,Micro ondes;;;;1;;1;4;35;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo;;oui;;Mélanie Rohou||06 80 84 18 03||melanie_rouhou@hotmail.com;;;;;"Chèques bancaires et postaux;Espèces";47.329363,-1.907077;Loire-Atlantique
GITE DE LA FEUILLE RONDE;Meublés;Maison;;;la Pyronnière;;44190;GORGES;;44064;47.1020613;-1.3232026;;03 87 80 01 00;;;;http://www.gite-feuilleronde.fr;;;;;non;;;non;;WiFi;;;;;Non classé;3;;1;8;;;"Allemand;Anglais;Français";oui;;;;;;;;47.1020613,-1.3232026;Loire-Atlantique
GÎTE LE CLOS DU JARRIER;Meublés;Maison;;;Le Clos du Jarrier;Saint-Herblon;44150;VAIR-SUR-LOIRE;;44163;47.3776762;-1.1491852;;06 80 48 31 22;;;;;;;;;non;;;non;;WiFi;"Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Terrain clos";Micro ondes;;;3 étoiles;2;;1;6;70;Fourniture de draps (gratuit),Fourniture de linge (gratuit);Français;oui;;;;;;;"Chèques bancaires et postaux;Espèces";47.3776762,-1.1491852;Loire-Atlantique
GÎTE LE HOUSSAIS;Meublés;Maison;;;le houssais;;44290;PIERRIC;;44123;47.6791953;-1.7434255;;;02 40 07 93 85;;;http://pagesperso-orange.fr/giteruralduhoussais/;;;;;;;;;;;;;Accueil Paysan;;3 étoiles;5;;;12;;;Français;oui;;simon||||;;;;;"Chèques bancaires et postaux;Chèques Vacances";47.6791953,-1.7434255;Loire-Atlantique
GITE LE MOULIN D'EREE;Meublés;;;;Le Moulin d'Erée;;44110;SOUDAN;;44199;47.7445134;-1.2900501;;06 71 10 35 58;;;;;;;;;;;;non;;Parc/jardin,WiFi;;;;;;1;;1;2;;;;;;;;;;Semaine (meublé)||400,00||||85€ / nuit;;47.7445134,-1.2900501;Loire-Atlantique
CHAMBRES D'HÔTES LES ALOUETTES;Chambres d'hôtes;Maison;;;Les Salles;Saint-Herblon;44150;VAIR-SUR-LOIRE;;44163;47.414846;-1.0882685;;06 73 12 43 47;;;;http://www.chambredhote-lesalouettes.fr;;;;;oui;Présence non acceptée dans les chambres, local à disposition si besoin.;;non;;Parc/jardin,Piscine,WiFi;"Parking;Terrain clos;Terrasse / Balcon;Toilettes séparées";Cheminée,Lave linge,Micro ondes;;;;3;;;7;;Location de draps,Location de linge,Option nettoyage;Français;oui;;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||45,00||75,00||Chambre familiale 3 personnes : 75 €;Espèces;47.414846,-1.0882685;Loire-Atlantique
GITE UNE PAUSE AU LOGIS;Meublés;Maison;;;Loutinais;;44520;MOISDON-LA-RIVIERE;;44099;47.6202204;-1.4044507;;06 50 35 72 82;02 40 07 61 88;;;www.pause-au-logis.fr;;;;;;;;non;;Espace bien-être,Piscine couverte;;;;;;4;;1;12;;;;;;;;;;Semaine (meublé)||800,00||1300,00||,Week-end (meublé)||800,00||1000,00||;;47.6202204,-1.4044507;Loire-Atlantique
APPARTEMENT 4 PERSONNES LES PALMIERS;Meublés;Appartement;;;Place des palmiers;Résidence Les Ajoncs - 1er étage;44500;LA BAULE-ESCOUBLAC;;44055;47.28089;-2.36852;;06 14 28 54 43;;;;;;;;;;;;;;;"Terrasse / Balcon;Toilettes séparées";Lave linge,Lave vaisselle,Micro ondes;;;2 étoiles;2;;;4;70;;;;10/04/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||||||;;47.28089,-2.36852;Loire-Atlantique
BATEAU L'ATOUE DE NORT;Hébergement insolite;Bateau habitable;;;Quai Saint - Georges;;44390;NORT-SUR-ERDRE;;44110;47.4387296;-1.4946946;;06 89 84 27 64;;;;;;;;;non;;;non;;;Parking;;;;Non classé;1;;1;4;40;Fourniture de draps (gratuit),Fourniture de linge (gratuit);Français;oui;;;;;;Nuitée (meublé)||410,00||||2 nuits,Week-end (meublé)||510,00||||3 nuits,Nuitée (meublé)||610,00||||4 nuits;"Chèques bancaires et postaux;Espèces;Virement";47.4387296,-1.4946946;Loire-Atlantique
SURPRENANTES - LE VOYAGE EN BALLON;Meublés;;;;rue Malherbe;;44000;NANTES;;44109;47.2181182;-1.5460242;;06 38 44 49 98;;;;http://surprenantes.com/;;;;;non;;;non;;WiFi;Entrée indépendante;;;;Non classé;1;;;;;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit);"Anglais;Espagnol;Français";oui;;;;;;Nuitée (meublé)||66,00||119,00||;;47.2181182,-1.5460242;Loire-Atlantique
L'ÉLECTRON LIBRE;Hébergement insolite;Bateau habitable;;Base de loisir du Brivet;;;44570;TRIGNAC;;44210;47.3229566;-2.1963494;;;0 811 260 160;;;http://insolite.voyage/index.php?p=1_12_L-Electron-Libre;https://www.facebook.com/LInsolitevoyage/videos/1358633684281738/;Facebook||https://www.facebook.com/LInsolitevoyage/;;;oui;;;non;;;;;;;;;;;4;18;Location de draps;"Anglais;Français";non;01/07/2022||30/09/2022||Location de Juillet à Septembre||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||08 11 26 01 60||;;;;Nuitée (meublé)||75,00||115,00||La demande étant très forte, et la zone de navigation relativement courte, les réservations ne se font que pour 1 nuit. Si vous possédez une box 2 nuits, il vous est possible de passer la seconde nuit sur un autre de nos hébergements.;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces";47.3229566,-2.1963494;Loire-Atlantique
PAILLOTTE CHEZ SUZELLE;Meublés;;42 Rue du Général de Gaulle;;;;44310;SAINT-LUMINE-DE-COUTAIS;;44174;47.05386;-1.73022;;;06 46 85 18 50;;;;;;;;;;;non;;Parc/jardin;"Entrée indépendante;Jardin indépendant;Parking;Plain Pied;Sanitaires privés;Terrain clos;Toilettes séparées";;;;Non classé;2;0;1;6;77;;;oui;;;non;||||||06 46 85 18 50||padiolleausuzelle@live.fr;;;;47.05386,-1.73022;Loire-Atlantique
GÎTE LA P'TITE MAISON;Meublés;Maison;5, La Rambellerie;;;;44290;GUEMENE-PENFAO;44290;44067;47.637978;-1.807576;;;;;;;;Facebook||https://www.facebook.com/larbreemaille;;;oui;;;non;;Parc/jardin;"Entrée indépendante;Parking;Plain Pied;Terrain clos;Terrasse / Balcon;Toilettes séparées";Cheminée,Equipement bébé,Lave vaisselle,Micro ondes;;;3 étoiles;1;;1;4;33;Fourniture de draps (gratuit),Location de linge,Option nettoyage;Français;non;01/03/2022||31/10/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Karine LE BRIS||06 26 55 57 44||larbreemaille@gmail.com;;;;Nuitée (meublé)||100,00||140,00||,Week-end (meublé)||200,00||280,00||,Mid-week (meublés)||300,00||420,00||,Semaine (meublé)||400,00||560,00||,Taxe de séjour / nuit / pers||0,90||||;"Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.637978,-1.807576;Loire-Atlantique
GÎTE LA HAUTARDIÈRE;Meublés;Maison;La Hautardière;;;;44360;SAINT-ETIENNE-DE-MONTLUC;;44158;47.276451;-1.78059;;06 80 72 13 03;;;;;;Facebook||https://www.facebook.com/G%C3%AEte-La-Hautardi%C3%A8re-180600972657906/;;;;;;non;;WiFi;"Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés";;;;Non classé;;;2;6;;;;;;||06 80 72 13 03||gitelahautardiere@outlook.com;;;;Semaine (meublé)||||||260.00€ à 480.00€ la semaine;;47.276451,-1.78059;Loire-Atlantique
CHAMBRES D'HÔTES DE LA BERGERIE;Chambres d'hôtes;Maison;;;La Bergerie;;44390;LES TOUCHES;;44205;47.4553075;-1.3923615;Autoroute||A11 sortie N°20||25,Gare SNCF||Ancenis||23,Gare SNCF||Nantes||30,Transport en commun||Tramtrain (Norts/Erdre)||8,5,Route (nationale/départ.)||D26||0,3,Gare routière||Nantes||25,Aéroport/aérodrome||Nantes-Atlantique, BOUGUENAIS||45;06 72 64 93 82;;;;https://sites.google.com/site/chambresdelabergerie/home;;;;;;nous contacter;;non;;Parc/jardin,WiFi;"Entrée indépendante;Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Micro ondes;;;Non classé;2;;1;7;45;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit);"Anglais;Français";oui;;;;;;1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||50,00||65,00||,1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||60,00||75,00||;"Chèques bancaires et postaux;Chèques Vacances";47.4553075,-1.3923615;Loire-Atlantique
GITE LE MOULIN DE BESSON;Meublés;Maison;2 La Sorinière;;;;44310;SAINT-COLOMBAN;;44155;47.03113;-1.58628;Aéroport/aérodrome||Nantes Atlantique  ||25,Autoroute||A83||25,Bord de mer||Pornic ||40,Gare routière||Gare de Nantes||35;;06 08 62 29 68;;;;;;;;;;;non;;Parc/jardin,WiFi;"Jardin indépendant;Parking;Sanitaires privés;Terrain clos;Toilettes séparées";Lave linge,Lave vaisselle,Micro ondes;;;Non classé;4;;1;;;;Français;oui;;Patrick GRIVEAU ||06 08 62 29 68||griveau.patrick@gmail.com;;;;;;47.03113,-1.58628;Loire-Atlantique
STUDETTE DE TRÉJET;Meublés;Appartement;;;12 Rue de Tréjet;;44118;LA CHEVROLIERE;;44041;47.11149;-1.6048;Aéroport/aérodrome||Nantes Atlantique ||15,Autoroute||a83 LE BIGNON ||15,Bord de mer||Station littorale Pornic ||45,Gare SNCF||gare de Nantes ||25;;06 06 43 56 13;;;;;;;;;;;non;;WiFi;"Entrée indépendante;Jardin indépendant;Parking;Plain Pied;Sanitaires privés;Terrain clos;Toilettes séparées";Micro ondes;;;Non classé;1;;1;;25;;Français;;;Dorothée SUIRE ||06 06 43 56 13||dorothee.suire@orange.fr;;;;;"Cartes bancaires;Espèces;Virement";47.11149,-1.6048;Loire-Atlantique
GÎTE LE PLESSIS PAS BRUNET;Meublés;Maison;;;609, Le Plessis-Pas-Brunet;;44390;NORT-SUR-ERDRE;;44110;47.424544;-1.5270564;Aéroport/aérodrome||Nantes-Atlantique||43,Gare SNCF||Nort-Sur-Erdre ligne Nante-Chateaubriant||4,Route (nationale/départ.)||voie rapide Rennes-Nantes||10,Transport en commun||car Lilas du Conseil Départemental||4,Bord de mer||Pornic, La Baule, Guérande, St Nazaire||80,Halte fluviale||port de Nort-Sur-Erdre||4,Itinéraire de randonnée||circuit des marais de Blanche Noë||0;07 70 18 35 08;;;;https://giteleplessispasbrunet44.fr/;;;;;oui;voir les conditions avec l'exploitante;;non;EV1-La Vélodyssée;WiFi;"Entrée indépendante;Jardin indépendant;Local vélo;Parking;Plain Pied;Sanitaires privés;Terrain clos;Toilettes séparées";Cheminée,Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes;Accueil Vélo,La Vélodyssée,Rando Accueil;;2 étoiles;5;0;1;15;169;Location de draps,Location de linge,Option nettoyage;"Anglais;Français";oui;||||||fermeture annuelle du 24 janvier au 24 février 2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Nuitée (meublé)||450,00||530,00||,Week-end (meublé)||570,00||649,00||,Taxe de séjour / nuit / pers||0,80||0,80||;"Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.424544,-1.5270564;Loire-Atlantique
LA CHAMBRE EN VILLE;Chambres d'hôtes;Maison;;;17 rue Marcel Schwob;(maison au fond de l'impasse);44100;NANTES;;44109;47.2091208;-1.5790876;Aéroport/aérodrome||||5,93378,Gare maritime||||0,508754,Gare SNCF||Gare SNCF - accès Nord||2,88196,Gare SNCF||Gare SNCF - accès Sud||2,8803;06 71 62 70 14;02 40 71 96 51;;;http://www.lachambreenville.com;;;;;;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Jardin indépendant;Plain Pied;Sanitaires privés;Terrain clos;Toilettes séparées";Cheminée;Chambre d'hôtes référence;;Non classé;1;;1;2;35;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit);"Espagnol;Français";oui;;;oui;||http://reservation.nantes-tourisme.com/fr/hebergements/a105680/HLOPDL044105680/reserver||||||;;;Chèques bancaires et postaux;47.2091208,-1.5790876;Loire-Atlantique
APPARTEMENT LE BEL'OUVRAGE;Meublés;Appartement;;;2 rue Jemmapes;;44000;NANTES;;44109;47.213119;-1.5455317;Aéroport/aérodrome||||7,45253,Gare maritime||||2,27189,Gare SNCF||Gare SNCF - accès Nord||0,559211,Gare SNCF||Gare SNCF - accès Sud||0,407867;06 72 66 86 78;;;;;;;;;;;;non;;WiFi;"Entrée indépendante;Garage;Parking;Sanitaires privés;Toilettes séparées";Equipement bébé,Lave vaisselle,Micro ondes;;;2 étoiles;1;1;;2;45;Fourniture de draps (gratuit),Fourniture de linge (gratuit);Anglais;oui;;Moison Remi||0672668678||remi.moison1789@gmail.com;;;;;Virement;47.213119,-1.5455317;Loire-Atlantique
PORT DESIRE;Meublés;Maison;;;4 Place Louis Brichaux;;44600;SAINT-NAZAIRE;;44184;47.26484;-2.22598;Bord de mer||||0,Itinéraire de randonnée||GR34||0,Itinéraire de randonnée||Loire à Vélo||0,1,Transport en commun||Ligne U3 - Arrêt Sautron||0,Transport en commun||Ligne U2 - Arrêt Soucoupe||0,65,Transport en commun||Ligne U1 - Arrêt Pertuischaud||0,75,Transport en commun||Ligne Hélyce - Arrêt Plaisance Coubertin||0,9;06 81 00 57 34;;;;;;;;;non;;;non;;Parc/jardin,WiFi;"Jardin indépendant;Terrain clos;Terrasse / Balcon";Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;;1;;1;3;47;Fourniture de draps (gratuit),Fourniture de linge (gratuit);"Anglais;Français";oui;01/01/2022||31/12/2022||Location toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;oui;Gîtes de France||https://www.gites-de-france-loire-atlantique.com/fr/location/locations-gites-saint-nazaire-la-pecherie-h44g020455?capacity=1||||||;;Nuitée (meublé)||70,00||95,00||,Semaine (meublé)||490,00||665,00||;;47.26484,-2.22598;Loire-Atlantique
AGREABLE T2 VILLES MARTIN;Meublés;Appartement;;;14 Rue des Mouettes;Résidence le Normandie bat A;44600;SAINT-NAZAIRE;;44184;47.25928;-2.22549;"Bord de mer||||0,1,Transport en commun||Ligne U3 - Arrêt ""Cormorans""||0,19";07 80 04 11 53;;;;;;;;;non;Animaux non aceptés;;non;;WiFi;"Entrée indépendante;Garage;Local vélo;Terrasse / Balcon";Lave linge,Micro ondes;;;Non classé;1;0;1;2;47;Option nettoyage;Français;non;01/04/2022||30/09/2022||Location d'Avril à Septembre||Location d'Avril à Septembre||||||||||||||||||||||||||||||||||||||||||||||||||||||||;DUBOIS||07 80 04 11 53||duboiscath44@laposte.net;;;;Semaine (meublé)||450,00||600,00||;Chèques bancaires et postaux;47.25928,-2.22549;Loire-Atlantique
DOMAINE HORTENSIAS;Chambres d'hôtes;Maison;;;42 route de l'Olivier;;44760;LES MOUTIERS-EN-RETZ;;44106;47.06973;-2.01892;Bord de mer||||0,1,Transport en commun||||1,8,||||1,8,Gare SNCF||||1,8;;06 83 72 05 46;;;http://www.domaine-hortensias.com;;;;;oui;;;non;;WiFi;Parking;Equipement bébé;Fleurs de Soleil;;;1;;;2;;Location/prêt de vélo,Tables d'hôtes;Anglais;;20/02/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces";47.06973,-2.01892;Loire-Atlantique
